time,VGS_Q1,VDS_Q1,IRES
0,0,400,0
0.000001,0,400,2.94
0.000002,0,400,4.76
0.000003,12,400,4.76
0.000004,12,2,2.94
0.000005,12,2,0
0.000006,12,2,-2.94
0.000007,0,2,-4.76
0.000008,0,400,-4.76
0.000009,0,400,-2.94
0.00001,0,400,0
0.000011,0,400,2.94
0.000012,0,400,4.76
0.000013,12,400,4.76
0.000014,12,2,2.94
0.000015,12,2,0
0.000016,12,2,-2.94
0.000017,0,2,-4.76
0.000018,0,400,-4.76
0.000019,0,400,-2.94
0.00002,0,400,0
0.000021,0,400,2.94
0.000022,0,400,4.76
0.000023,12,400,4.76
0.000024,12,2,2.94
0.000025,12,2,0
0.000026,12,2,-2.94
0.000027,0,2,-4.76
0.000028,0,400,-4.76
0.000029,0,400,-2.94
