time,VGS_Q1,VDS_Q1,IRES
0,0,400,0
0.000001,12,400,4
0.000002,12,400,5
0.000003,0,400,0
0.000004,0,400,-4
0.000005,0,400,-5
0.000006,0,400,0
0.000007,0,400,0
0.000008,12,400,4
0.000009,12,400,5
0.000010,0,400,0
0.000011,0,400,-4
0.000012,0,400,-5
0.000013,0,400,0
0.000014,0,400,0
0.000015,12,400,4
0.000016,12,400,5
0.000017,0,400,0
0.000018,0,400,-4
0.000019,0,400,-5
0.000020,0,400,0
0.000021,0,400,0
0.000022,12,400,4
0.000023,12,400,5
0.000024,0,400,0
0.000025,0,400,-4
0.000026,0,400,-5
0.000027,0,400,0
